中国,#genre#
AEC,http://smt.iktv.ddns-ip.net/Smart.php?id=AEC
华丽台 HD （Wah Lai Toi）,http://smt.iktv.ddns-ip.net/Smart.php?id=Wlt
欢喜台 HD （Hua Hee Tai）,http://smt.iktv.ddns-ip.net/Smart.php?id=Huahee
QJ,http://smt.iktv.ddns-ip.net/Smart.php?id=Quanjia
TVB Jade,http://smt.iktv.ddns-ip.net/Smart.php?id=Tvbjade
TVB Asia,http://smt.iktv.ddns-ip.net/Smart.php?id=Tvbasia
TVB Entertainment,http://smt.iktv.ddns-ip.net/Smart.php?id=Tvbentertainment
TVB Classic,http://smt.iktv.ddns-ip.net/Smart.php?id=Tvbclassic
AOD,http://smt.iktv.ddns-ip.net/Smart.php?id=Aodhd
One,http://smt.iktv.ddns-ip.net/Smart.php?id=One
TVB 星河台 Xing He,http://smt.iktv.ddns-ip.net/Smart.php?id=Xinhe
爱奇艺 iQiyi,http://smt.iktv.ddns-ip.net/Smart.php?id=Qiyi
Animal Planet (Eng),http://smt.iktv.ddns-ip.net/Smart.php?id=AnimalPlanet
tvN Movie,http://smt.iktv.ddns-ip.net/Smart.php?id=Tvnmovie
CNN backup,http://smt.iktv.ddns-ip.net/Smart.php?id=cnn_twn
Celestial Classic,http://smt.iktv.ddns-ip.net/Smart.php?id=Celestial2
CNBC,http://smt.iktv.ddns-ip.net/Smart.php?id=cnbc_twn
TLC,http://smt.iktv.ddns-ip.net/Smart.php?id=Tlc
CNA,http://smt.iktv.ddns-ip.net/Smart.php?id=cna
BBC World News,http://smt.iktv.ddns-ip.net/Smart.php?id=bbcnews_twn
Foodnetwork Hd,http://smt.iktv.ddns-ip.net/Smart.php?id=Foodnetwork
HGTV,http://smt.iktv.ddns-ip.net/Smart.php?id=HGTV
Goshop,http://smt.iktv.ddns-ip.net/Smart.php?id=Goshop
Celestial Movies HD,http://smt.iktv.ddns-ip.net/Smart.php?id=Celestial
Axn HD,http://smt.iktv.ddns-ip.net/Smart.php?id=Axn
Paramount Network,http://smt.iktv.ddns-ip.net/Smart.php?id=Paramountnetwork
Astrol Kplus,http://smt.iktv.ddns-ip.net/Smart.php?id=Kplus
AFC 亚洲旅游台,http://smt.iktv.ddns-ip.net/Smart.php?id=asiatravel_twn
Rock Actions,http://smt.iktv.ddns-ip.net/Smart.php?id=Rockaction
Bloomberg News,http://smt.iktv.ddns-ip.net/Smart.php?id=bloomberg_twn
Al-Jazeera,http://smt.iktv.ddns-ip.net/Smart.php?id=aljazeera_twn
Rock Entertainment,http://smt.iktv.ddns-ip.net/Smart.php?id=Rockentertain
RTM Sports HD,http://smt.iktv.ddns-ip.net/Smart.php?id=Rtmsport
Arena,http://smt.iktv.ddns-ip.net/Smart.php?id=Arena
Arena 2,http://smt.iktv.ddns-ip.net/Smart.php?id=Arena2
